Name Col1,Name Col2,label CMYK_C,label CMYK_M,label CMYK_Y,label CMYK_K,,tint CMYK_C,tint CMYK_M,tint CMYK_Y,tint CMYK_K,RGB_R,RGB_G,RGB_B,HTML
P 44-15 C,P 44-15 CP,44.145876,58.742654,60.738534,49.018082,,42.049286,57.174027,61.304647,50.977343,100,100,100,56654b
P 176-11 C,P 176-11 CP,60.918593,37.518883,49.141681,30.399024,,59.375906,35.436025,49.797818,32.799268,100,100,100,56654b
P 106-1 C,P 106-1 CP,6.016632,2.188144,0,0,,5.413901,2.00351,0,0,100,100,100,56654b
P 29-1 C,P 29-1 CP,6.332494,17.659266,22.691691,0.001526,,6.599527,17.094682,25.214007,0.018311,100,100,100,56654b
P 28-12 C,P 28-12 CP,8.880751,35.82513,48.892957,5.847257,,8.380255,34.912643,50.447851,6.775006,100,100,100,56654b
P 163-1 C,P 163-1 CP,1.588464,0,11.090257,0,,1.850919,0,13.966583,0,100,100,100,56654b
P 174-13 C,P 174-13 CP,63.968873,43.141833,37.059587,27.106127,,62.478065,41.364157,37.924773,29.423973,100,100,100,56654b
P 177-12 C,P 177-12 CP,60.395211,33.388266,55.938047,34.067291,,59.119552,31.509879,56.720835,36.073855,100,100,100,56654b
P 160-1 C,P 160-1 CP,1.258869,0,8.284123,0,,1.408408,0,11.190967,0,100,100,100,56654b
P 177-13 C,P 177-13 CP,61.248189,34.42893,55.591667,34.926376,,59.925228,32.509345,56.340885,36.99092,100,100,100,56654b
P 163-2 C,P 163-2 CP,3.256275,0,20.33875,0,,3.726253,0,22.966354,0,100,100,100,56654b
P 170-2 C,P 170-2 CP,23.910888,26.004425,25.387961,2.108797,,22.714581,24.693675,26.970321,3.736934,100,100,100,56654b
P 43-3 C,P 43-3 CP,16.33936,34.271762,35.417715,4.809644,,15.371938,33.19295,37.016863,6.149386,100,100,100,56654b
P 55-7 C,P 55-7 CP,0,84.429693,69.636071,0,,0,83.950561,70.875102,0,100,100,100,56654b
P 176-1 C,P 176-1 CP,29.01198,23.245594,24.905775,2.081331,,27.612725,21.698329,26.332495,3.99176,100,100,100,56654b
